row_id	status	notes	screenshots
M-DATASET-01	FAIL	NEW F-CANOPY-029. Clicking dataset-plotter-generate-btn never opens the modal: toggle_generate_modal (dashboard_manager.py:3869-3870) does ctx = get_callback_context() then ctx.triggered_id, but get_callback_context() returns canopy's OWN CallbackContextAdapter (callback_context.py:53) whose only accessor is get_triggered_id() (:78). Every click raises AttributeError -> Dash 500. Browser console: 'Callback error updating dataset-plotter-generate-modal.is_open'; canopy log carries the traceback ending 'AttributeError: CallbackContextAdapter object has no attribute triggered_id. Did you mean: get_triggered_id?'. One-line fix.	—
M-DATASET-02	BLOCKED	The 3 modal tabs (-tab-generate / -tab-upload / -tab-url) cannot be reached: dataset-plotter-modal-tabs is absent because the modal never opens (F-CANOPY-029). Closed modals are legitimately ABSENT on this dashboard, so absence here is the consequence of -01, not separate evidence.	—
M-DATASET-03	BLOCKED	Doubly blocked: DEMO-lane row (mode D) AND its controls live inside the generate modal, which never opens under F-CANOPY-029. Not attempted in the DEMO posture this segment.	—
M-DATASET-05	BLOCKED	dataset-plotter-import-file-upload and -import-file-confirm live inside the generate modal; unreachable under F-CANOPY-029. The accept/multiple contract and the ships-disabled confirm could not be observed.	—
M-DATASET-07	BLOCKED	dataset-plotter-import-url-input lives inside the generate modal; unreachable under F-CANOPY-029.	—
M-DATASET-09	BLOCKED	Cancel cannot be scored: the modal it would close never opens (F-CANOPY-029). A driver run did observe 0 /api/ requests around the cancel click, but with no modal open that observation is vacuous — recorded as BLOCKED rather than a hollow PASS.	—
M-DATASET-10	PASS	Options scoped by the trigger's aria-controls (an unscoped [role=option] sweep also catches other open Radix menus and manufactures a wrong list): exactly 16 entries — Spiral, Xor, Gaussian, Circles, Moon, Checkerboard, Csv_import, Equities, Equities_seq, Multi_sine, Mackey_glass, Ar_p, Irregular_sine, Delay_product, Mnist, Arc_agi — matching GET /api/dataset/generators one-for-one. Default value 'Spiral' as documented. Selecting 'Xor' changed the rendered value but produced ZERO /api/dataset* requests, confirming select-alone-is-inert by design (:112-115).	—
M-DATASET-11	PASS (LIVE arm)	Load click wrote '❌ Dataset generation only available in demo mode' into -load-status (330x20). Backend arm confirmed independently: POST /api/dataset/generate {'generator':'spiral'} -> HTTP 400 {'error':'Dataset generation only available in demo mode'} (main.py:1417-1418). The D (success) arm needs the DEMO posture and was not driven.	—
M-DATASET-12	PASS	All three values selected cleanly — All Data -> Training Only -> Test Only -> All Data, each confirmed by the rendered dropdown value — with ZERO /api/ requests across the sequence, matching 'no request / pure client re-filter'. NB an earlier probe reported this control ABSENT and nearly became a filed defect; the panel rebuilds continuously, so getElementById on it is racy and needs a long settle.	—
M-DATASET-13	FAIL	Third instance of F-CANOPY-027. All four tiles sit at their mount defaults — sample-count '0', feature-count '0', class-count '0', balance-info 'N/A' — while dataset-plotter-dataset-store is demonstrably filled 13 times in 90s with real data (num_samples 1000, num_features 2, num_classes 2, train 800 / test 200, plus inputs arrays). The 6-output consumer callback (dataset_plotter.py:496-532) emitted ZERO outputs across 409 _dash-update-component responses. Full-text response matching, uncapped counters.	—
M-DATASET-14	BLOCKED	Not scored — instrument limit, not a defect claim. The dark-mode-toggle click did not take (document root class stayed empty), so no theme transition actually occurred; the before/after comparison additionally reported 'changed' only because the second sample carried an extra key. Needs a verified theme flip before the recolour arm can be judged.	—
M-DATASET-15	FAIL	MANUAL class, driven anyway. dataset-plotter-scatter-plot renders at 1102x0 — width but ZERO height — with no plotly traces and no modebar, for the whole session, against a store carrying 1000 samples. Same dead consumer callback as M-DATASET-13 (F-CANOPY-027): the callback that writes this figure also writes the four tiles.	—
M-DATASET-16	FAIL	MANUAL class, driven anyway. dataset-plotter-distribution-plot also 1102x0, no traces. Same cause as -13/-15. 'modebar off' could not be confirmed as a deliberate config because no figure is ever drawn.	—
M-DATASET-17	BLOCKED	Sequence (3-D) control set. dataset-plotter-seq-controls ships display:none and is revealed only for a sequence dataset (:630-635); no sequence dataset is loadable in the LIVE lane — POST /api/dataset/generate is demo-gated (400) and the two sequence-capable registry entries equities / equities_seq both report available:false from GET /api/dataset/generators.	—
M-DATASET-18	BLOCKED	Signals-mode window selector; unreachable without a sequence dataset (see -17).	—
M-DATASET-19	BLOCKED	Signals-mode multi-select; unreachable without a sequence dataset (see -17).	—
M-DATASET-20	BLOCKED	Windows-mode signal selector; unreachable without a sequence dataset (see -17).	—
M-DATASET-21	BLOCKED	Windows-mode multi-select; unreachable without a sequence dataset (see -17).	—
M-DATASET-22	BLOCKED	Small multiples / Overlay arrange toggle; element renders but at 0x0 under the hidden seq-controls parent. Unreachable without a sequence dataset (see -17).	—
M-DATASET-23	BLOCKED	Show-target switch; renders 0x0 under the hidden parent, and -seq-target-plot stays display:block 1102x0. Unreachable without a sequence dataset (see -17).	—
M-DATASET-24	BLOCKED	Full-cross grid switch; -seq-grid-container confirmed display:none. Unreachable without a sequence dataset (see -17).	—
M-DATASET-25	BLOCKED	Characterization collapse toggle; renders 0x0 under the hidden parent. Unreachable without a sequence dataset (see -17).	—
M-DATASET-26	BLOCKED	-seq-char-companion confirmed display:none 0x0, correct for a non-sequence dataset, but the shown-for-sequence arm is unreachable (see -17). Scored BLOCKED rather than PASS on the hidden arm — a negative-arm pass is not evidence the gate works.	—
M-DATASET-27	PASS	The 2-D inverse, fully observed with spirals loaded (/api/dataset loaded:true, num_features 2): seq-controls display:none 0x0; seq-group-windows display:none; seq-grid-container display:none; seq-char-companion display:none; every remaining seq-* element 0x0 under the hidden parent and carrying no data. 'Every sequence control stays hidden and empty' holds.	—
