row_id	status	notes	screenshots
C2.6-02	PASS	REAL KEYSTROKES (focus + Control+a + Delete + pressSequentially + Tab). nn-max-iterations-input 1000 -> 1234; validity.valid=true, stepMismatch=false; apply-params-button disabled true->false and params-status rendered the tracker text within a 3.0 s settle. Post-canopy#489 the field is step=1 min=1 (was step=100), so a typed integer is on-grid and reaches Dash state. Confirms the F-CANOPY-017 step-grid wall is gone for this field.	—
C2.6-03	PASS	nn-max-total-epochs-input 140795 -> 123456 -> revert. Apply disabled->enabled at 3000 ms, enabled->disabled at 2000 ms on revert, so the dirty transition is attributable to THIS field alone (form verified clean before the probe). step=1 min=10, stepMismatch=false.	—
C2.6-04	PASS	nn-output-epochs-input 10000 -> 12345; Apply enabled at 2100 ms with '⚠️ Unsaved changes'. STRONGEST evidence: the value round-tripped to the BACKEND -- cascor /v1/training/params output_epochs=12345, and it survived a full page reload (sidebar re-seeded 12345 from backend). Proves the edit reaches Dash state AND the network, not a None-substituted default.	—
C2.6-08	PASS	nn-learning-rate-input 0.1 -> 0.0733 -> revert; dirty at 1500 ms, clean at 1500 ms. This is the exact field and exact value of the F-CANOPY-017 live instance ('typed 0.0733 -> POSTed 0.01'). Post-#489 the field is step="any" (was step=0.001 min=0.0001), and 0.0733 now reads validity.valid=true stepMismatch=false. The step-grid wall is gone.	—
C2.6-09	PASS	nn-max-hidden-units-input 10 -> 7 -> revert; dirty at 2000 ms, clean at 2000 ms. step=1 min=0, stepMismatch=false.	—
C2.6-13	PASS	nn-growth-trigger-radio: default is 'convergence' as the matrix states (:1052). Selecting 'preset_epochs' enabled nn-growth-preset-epochs-input (disabled true->false) AND disabled nn-growth-convergence-threshold-input (false->true) at 1500 ms -- exactly the stated 'enables preset, disables the convergence pair'. Real radio input click.	—
C2.6-15	PASS	nn-growth-convergence-threshold-input 0.001 -> 0.0042 -> revert; dirty at 1500 ms, clean at 1500 ms. step="any" post-#489.	—
C2.6-16	PASS	nn-patience-input 77 -> 88; dirty at 1200 ms then Apply -> cascor /v1/training/params patience=88, and the value survived a page reload. Full backend round-trip on a clean (in-sync) sidebar, so this apply did NOT hit the epochs_max verify divergence.	—
C2.7-01	PASS	ctx-spiral-dataset-header click toggled ctx-spiral-dataset-collapse open->closed at 1800 ms (height 500 -> 0), caret ▼ -> ▶. Verified by class ('collapse show' -> 'collapse') + computed display + rect height, not presence.	—
C2.7-04	PASS	nn-dataset-elements-input 1000 -> 1500 -> revert; dirty at 2000 ms, clean at 1500 ms. Confirms the field IS one of the 27 dirty-tracked inputs even though C2.9-04 drops it from the 25-key /api/set_params body (it travels on /api/stage_dataset). Post-#489 step=1 min=50 -> stepMismatch=false, closing the W6-03 F-CANOPY-017 link recorded in run 20260811T010700Z.	—
C2.7-05	PASS	nn-dataset-noise-input 0.25 -> 0.3 -> revert; dirty at 2000 ms, clean at 2000 ms. step="any", stepMismatch=false. Same dirty-tracked-but-not-POSTed class as C2.7-04.	—
C2.8-01	PASS	cn-subsection-header toggles cn-subsection-collapse. Ships is_open=False as the matrix states (:1517): observed 'collapse' / display none / height 0 / caret ▶. Click -> 'collapse show', height 919, caret ▼ at 3500 ms, stable to 8400 ms; a second click closed it again at 1600 ms. MEASURED SETTLE 3.5 s -- a 2 s sample window reads this working control as broken.	—
C2.8-02	PASS	cn-pool-size-input 40 -> 33 -> revert; dirty at 2000 ms, clean at 2000 ms. Feeds the triple validator as P.	—
C2.8-03	PASS	cn-correlation-threshold-input 0.01 -> 0.0077 -> revert; dirty at 2000 ms, clean at 2000 ms. step="any" post-#489 (was step=0.0001 min=0.00001, one of F-CANOPY-017's 7 off-grid fields).	—
C2.8-04	PASS	cn-selected-candidates-input driven 1 -> 2 -> 5; each change re-ran the clientside triple validator, and the final value round-tripped to the backend (cascor selected_candidates=5). Feeds the validator as S.	—
C2.8-05	PASS	cn-pool-triple-feedback exercised on THREE of the nine branches, each flagging exactly the offending input(s): (1) T>0,R>0,T+R!=S -> 'top_candidates+random_candidates must equal S=1 (got 1+1=2)', is-invalid on T AND R, not on S or P; (2) R==0 and T!=S -> 'with random_candidates=0, top_candidates must equal S=2 (got T=1)', is-invalid on T ONLY; (3) satisfied triple (S=2,T=2,R=0) -> message cleared, is-invalid removed. DECISIVE: branch (1)'s message text is BYTE-IDENTICAL to cascor's own server-side rejection logged at juniper-cascor control.py ('Command set_params failed: top_candidates+random_candidates must equal S=1 (got 1+1=2)'), so the clientside mirror provably matches _validate_candidate_pool_triple rather than merely looking plausible.	—
C2.8-06	PASS	ctx-pool-training-header click toggled ctx-pool-training-collapse open->closed at 1800 ms (height 272 -> 0), caret ▼ -> ▶.	—
C2.8-07	PASS	cn-training-complete-radio: default is 'preset_epochs' as the matrix states (:1385). Selecting 'convergence' enabled cn-training-convergence-threshold-input (which ships disabled=True :1418) AND disabled cn-training-iterations-input, at 1000 ms -- exactly the stated behaviour.	—
C2.8-08	PASS	cn-training-iterations-input 500 -> 600 -> revert; dirty at 2000 ms, clean at 2000 ms.	—
C2.8-10	PASS	cn-patience-input 50 -> 35 -> revert; dirty at 1500 ms, clean at 2000 ms.	—
