row_id	status	notes	screenshots
C2.1-01	PASS	store flip true, glyph 🌙→☀️, html.dark-mode added, body bg rgb(26,26,26), figures redrew	C2.1-01__dark.png
C2.1-02	PASS	theme persists across reload (store=true, class present); glyph desync on mount → F-CANOPY-001 (not a row expectation)	C2.1-02__reload-glyph-desync.png
C2.1-03	PASS	welcome modal opened on first visit (fresh profile), fired after params-init	C2.1-03__open.png
C2.1-04	PASS	Get Started click → localStorage juniper_canopy_welcomed="1", modal closed; reload → no reopen	—
C2.4-01	PASS	initial layout children "WS: --", backgroundColor #6c757d grey (verified via /dashboard/_dash-layout JSON)	—
C2.4-03	PASS	"WS: Connected" bg rgb(40,167,69) #28a745 on healthy stack; recovery-verified twice	C2.4-03__recovered.png,C2.4-03__recovered2.png
C2.4-06	PASS	"WS: Reconnecting" bg rgb(255,193,7) #ffc107 rendered during 6s-delayed reconnect induction (client closed/reconnecting attempts:1)	C2.4-07__down-state.png
C2.4-07	PASS	"WS: Offline" bg rgb(220,53,69) #dc3545 rendered during pre-connect window (t=+806ms..~11s after reload); also text-probed at +6.3s on an earlier load	C2.4-07__offline-red.png
C2.2-01	PASS	all 15 tabs switch (driven across session); tab-gated stores refetch per-tab	—
C2.3-01	PASS	status dot renders; style driven by health (eventual — see F-CANOPY-004 latency)	—
C2.3-02	PASS	"Stopped"→"Running"→"Completed — stalled (0 new units)"→"Unreachable" all rendered honestly	—
C2.3-03	PASS	"Idle"→"Output Training" rendered; FA-3 latency noted	—
C2.3-04	PASS	Step: renders current_epoch	—
C2.3-05	PASS	"0 / 10" cap form rendered	—
C2.3-06	PASS	segment visible (block) for cascor	—
C2.3-07	PASS	"Latency: 15ms" rendered	—
C2.3-08	PASS	connection-status div display:none	—
C2.5-01	PASS	train-gate-notice empty for live cascor model	—
C2.5-02	PASS(frame)/see C2.5-09	1 click → exactly 1 {command:"start",command_id} frame on /ws/control + optimistic ⏳ disable; NO /api/train/start HTTP (T-21 WS-primary CONFIRMED); success ack ~1s	—
C2.5-05	PASS	{command:"stop"} frame + success ack; no HTTP	—
