row_id	status	notes	screenshots
C2.10-01	PASS	Clicking nn-model-change-button opened model-selection-modal at 1500 ms with all four declared ids present AND shown: model-selection-modal, model-search-input, model-selection-table-container, model-selection-modal-close. The table container is rebuilt against the CURRENT dataset -- 3 rows rendered with a populated compatibility column ('CasCor (Cascade-Correlation) ... feedforward live ✓ compatible Selected', plus the Recurrence row). Escape closed this modal, which is correct: backdrop=static/keyboard=False are documented for live-switch and restart, NOT for the model picker.	—
C2.10-02	BLOCKED (F-CANOPY-025)	live-switch-modal is unreachable through the UI. Its only opener is live-dataset-switch-button, whose gate never enables -- see F-CANOPY-025. Probed directly after a click on the (disabled) button: live-switch-modal / live-switch-dataset-summary / live-switch-fallback-button / live-switch-accept-button all ABSENT from the DOM, which is the normal CLOSED state for these modals (verified: model-selection and restart modals are equally absent until opened, then present). So this is BLOCKED on the gate, not evidence the modal itself is broken.	—
C2.10-03	BLOCKED (F-CANOPY-025)	Same blocker as C2.10-02 -- progress/cancel/outcome belong to the live-switch flow that cannot be entered. Partial evidence recorded: live-switch-outcome-alert IS declared and present in the DOM at rest (closed, height 0, top 80px = 5rem), while live-switch-progress-alert and live-switch-cancel-button are absent until the flow runs.	—
C2.10-04	PASS	restart-with-new-dataset-button opened restart-confirm-modal at 1000 ms (500x1044) and seeded the summary: 'Dataset type: spirals / Samples: 1000 / Noise: 0.25 / Spiral rotations: 1.5 / Spirals: 2'. Eight of the nine declared children are DOM-present: restart-confirm-modal, restart-confirm-summary, restart-start-fresh-toggle, restart-granular-toggle, restart-granular-collapse (present, closed), restart-granular-context, restart-cancel-button, restart-confirm-button. The ninth, restart-modal-baseline, is a dcc.Store (dashboard_manager.py:2045) which Dash 3.x emits no DOM node for -- verified in source, NOT a missing surface. BEHAVIOURAL PROOF of the documented keyboard=False: pressing Escape with the modal open left it present and open (contrast the model picker, where Escape closed it). restart-granular-toggle is a dbc.Button, not a Switch; clicking it opened restart-granular-collapse (shown False -> True, height 1093).	—
C2.10-05	PASS	All three floating surfaces are declared and stack at the documented offsets, read as computed style on a 16px root: restart-outcome-alert top=208px = 13rem, dataset-stage-outcome-alert top=272px = 17rem -- exactly the matrix's '13rem / 17rem'. Both sit closed at rest (display block, height 0), which is the shipped state. restart-progress-alert is absent until a restart is in flight (same closed-means-absent pattern as the modals). dataset-stage-outcome-alert stayed closed through a SUCCESSFUL Apply Dataset, which matches its contract -- it renders only on a staging FAILURE.	—
C2.10-06	PASS	training-control-outcome-alert is declared and positioned at computed top=144px = 9rem, exactly the matrix's 'top: 9rem'. Closed at rest (height 0).	—
C2.10-07	PASS	restart-ds-type is a Dash 3.x Radix select (renders as BUTTON, not INPUT) -- the one granular field the matrix already classes AUTO. Driven Spirals -> XOR; #restart-confirm-summary re-rendered to 'Dataset type: xor' at 700 ms, the fastest of the eleven granular fields.	—
C2.10-08	PASS	restart-ds-samples 1000 -> 1500; summary re-rendered the delta at 2100 ms ('Samples: 1500'). Field reads step=1 min=1, validity.valid=true, stepMismatch=false. See the F-CANOPY-025-adjacent note on this row group: the matrix's T-22 'MANUAL (modify)' classification is obsolete.	—
C2.10-09	PASS	restart-ds-noise 0.25 -> 0.4; summary delta at 2100 ms. step="any" min=0, valid, no stepMismatch.	—
C2.10-10	PASS	restart-ds-rotations 1.5 -> 2.5; summary delta at 2100 ms ('Spiral rotations: 2.5'). step="any" min=0. This reproduces segment 10's single hand-driven result as a scripted control, confirming it was not a one-off.	—
C2.10-11	PASS	restart-ds-spirals 2 -> 3; summary delta at 2800 ms. step=1 min=1.	—
C2.10-12	PASS	restart-p-nn-learning-rate 0.01 -> 0.0733; summary rendered 'Parameter changes to apply before restart: Learning rate: 0.01 → 0.0733' at 2800 ms. step="any" min=0 post-canopy#489. One of the six restart-p-* fields segment 10 explicitly recorded as NEVER re-tested since #489.	—
C2.10-13	PASS	restart-p-nn-max-hidden-units 1000 -> 7; summary delta 'Max hidden units: 1000 → 7' at 2100 ms. step=1 min=1.	—
C2.10-14	PASS	restart-p-nn-patience 50 -> 77; summary delta 'Patience: 50 → 77' at 2800 ms. step=1 min=1. Together with C2.10-12 this settles the segment-10 open question about the restart-p-* class.	—
C2.10-15	PASS	restart-p-cn-pool-size 100 -> 33; summary delta at 2800 ms. step=1 min=1.	—
