row_id	status	notes	screenshots
M-CANDIDATES-01	PASS (re-validated @ f9defb4)	RE-DRIVEN under a LIVE run after the F-CANOPY-027 Stage 1+3 fix (canopy#507+#509). Previously PASS against mount defaults only. Badge tracked the server through the full cycle: 'Inactive' (idle A-arm) -> 'Training' during a live candidate phase (UI sample t+22s of run 2, screenshot F027-REDRIVE__candidates_live.png) -> back to 'Inactive' between phases. Style follows _get_status_style(pool_phase): 'Training' maps to the default gray arm (#6c757d) by code -- the output/candidate/complete keyword arms are unreachable for this field's actual values, noted as design intent question, not a defect.	F027-REDRIVE__candidates_live.png
M-CANDIDATES-02	PASS (re-validated @ f9defb4)	RE-DRIVEN live. Phase text 'Idle' (mount) -> 'Training' during the candidate phase, mirroring /api/state candidate_pool_phase. The UI lags the server 10-20s under run load (F-CANOPY-004, reduced but present): at t+5s the server was mid-candidate (candidate_epoch 151/400) while the UI still read Idle; at t+22s the UI read Training 351/400 after the server had returned to output.	F027-REDRIVE__candidates_live.png
M-CANDIDATES-03	PASS (re-validated @ f9defb4)	RE-DRIVEN live. Pool size '0' -> '40' during run 1 (t+222s sample) and run 2 (t+22s), matching candidate_pool_size 40 server-side; persists at 40 between candidate phases exactly as the server field does. This 0->40 transition was the impossible one under F-CANOPY-027 (store filled, consumer never ran).	F027-REDRIVE__candidates_live.png
M-CANDIDATES-04	PASS (re-validated @ f9defb4)	RE-DRIVEN live. Progress section display none (mount, A-arm) -> block during the candidate phase with dbc.Progress label '351/400' == candidate_epoch/candidate_total_epochs, exactly the :270-288 contract (hidden unless both fields present, then e/T).	F027-REDRIVE__candidates_live.png
M-CANDIDATES-06	PASS (re-validated @ f9defb4)	RE-DRIVEN live. 'No active candidate pool' placeholder (mount, A-arm) -> populated _create_candidate_pool_display during the candidate phase: 'Top 2 Candidates / Rank Candidate ID Correlation / 1 39 0.0894 / 2 10 0.3021 / Pool Training Metri...' with live top/second candidate ids+correlations matching /api/state.	F027-REDRIVE__candidates_live.png
M-CANDIDATES-07	FAIL	RE-DRIVEN live; still FAIL but the cause is NO LONGER F-CANOPY-027 -- re-attributed to NEW F-CANOPY-035. The render chain is alive (same store's five sibling consumers all rendered live values this session); the figure shows 'No candidate data available' because _create_candidate_loss_figure reads epochs/losses/phases -- keys /api/state never provides in any lane (TrainingState._STATE_FIELDS has no history keys). The data exists at /v1/metrics/history (4,106 candidate-phase entries this run); the panel is wired to the wrong producer.	F027-REDRIVE__candidates_final.png
M-CANDIDATES-09	FAIL	RE-DRIVEN live; was BLOCKED (F-CANOPY-027). The blocker changed: render_pool_history runs fine (empty branch renders; F-CANOPY-027 chain fixed), but the populated arm is unreachable because pool history NEVER accumulates -- NEW F-CANOPY-036: update_pool_history loses the race with its own feeder's ~1s repoll, so short-lived pool states are never appended. Zero cards across 5 runs / ~20 candidate phases, including run 5 where the badge provably rendered 'Selecting Best' from a live fill; constructive setProps Training write on a calm page produced no card and the request capture shows update_pool_history never executed after the write.	—
M-CANDIDATES-10	BLOCKED	Still BLOCKED, blocker re-attributed: was F-CANOPY-027, now F-CANOPY-036 -- the per-epoch history card never renders in the live lane (pool history never accumulates), so the DEAD-EXPECTED header-click test has no card to click. The dead-click test itself is ready in util/ad-hoc/e2e_f027_redrive.py (step cardsprobe) the moment F-CANOPY-036 is fixed.	—
M-CANDIDATES-11	BLOCKED	Same as -10: the per-epoch collapse only exists inside a history card and no card is ever built (F-CANOPY-036, re-attributed from F-CANOPY-027). Expected-dead check (is_open never changes, no writer) remains unreachable.	—
M-BOUNDARIES-01	PASS(slider-value)/FAIL(re-render)	RE-DRIVEN post-#507/#509. The slider still works as a control: ArrowRight on the focused [role=slider] moved 100->125 (step 25) in 3.4s. But NO re-render followed within 60s (fig sig frozen at 166696) and NO mesh at the new resolution ever arrived (boundary-data subscribe recorded zero value changes after t+2.7s). Root: the plot-render callback is starved in steady state (see M-BOUNDARIES-04); the resolution-refetch arm, previously PASS, could not be confirmed this run -- with the render dead there is no client-side observable for it. F-CANOPY-027 residue.	F027-REDRIVE__boundaries_slider.png
M-BOUNDARIES-02	FAIL	RE-DRIVEN post-#507/#509; was BLOCKED. The checkbox itself toggles (checked true->false, React value tracker follows). Its only observable -- decision-boundary-plot re-render with confidence shading off -- never occurs: fig sig frozen 30s+ after the toggle in the interaction session, and the request census (bprobe) shows the plot-render callback fired exactly once at mount and NEVER again in 115s, including the 30s window after this toggle. F-CANOPY-027 starvation, still live on this panel's steady state.	F027-REDRIVE__boundaries_confidence.png
M-BOUNDARIES-03	BLOCKED	RE-DRIVEN post-#507/#509; remains BLOCKED with sharpened evidence. The forced-refetch cannot be attributed client-side: the boundary-data feeder polls at ~1/s continuously (bprobe census: ambient 18 POSTs/40s, post-refresh 29/30s -- statistically indistinguishable), and identical-data rewrites are invisible to value-change instruments. The render arm that would make the refetch visible is dead under the same starvation as M-BOUNDARIES-04.	—
M-BOUNDARIES-04	FAIL	RE-DRIVEN post-#507/#509; still FAIL, mechanism sharpened. The render works ONLY at attach: session A transitioned 'No network loaded' -> 'Displaying decision boundary' at t+22s with a full contour+2-scatter figure (that arm re-validated). But session B (bprobe) attached and stayed at 'No network loaded' with an EMPTY figure for its whole 115s life while the boundary-data feeder delivered 80 fills at ~1/s: the plot-render callback fired exactly once (mount, before the first fill applied) and was never promoted again. F-CANOPY-027's signature, alive in steady state on this panel: BOTH its feeders (boundary-data + dataset-data) are fast-lane ~1/s pollers whose round-trips cover their period, so the downstream render is perpetually blocked (same promotion mechanism as F-CANOPY-036). This is what the unmet design-§7.1 saturation targets (pool full 61.4%, backlog 23>12) mean behaviourally; Stage 2 is required for the actual symptom close here.	F027-REDRIVE__boundaries_live.png
M-DATASET-13	PASS (re-validated @ f9defb4)	RE-DRIVEN post-#507/#509; was FAIL (third instance of F-CANOPY-027, all four tiles at mount defaults through a whole run). Now: 0/0/0/N-A at t+20s of a fresh session -> 800/2/2/'Balanced' at t+40s, stable at t+100s, matching the loaded spirals split (800 train). Census: dataset-store feeder 20 POSTs / tile-render callback 6 POSTs in 118s -- the render chain fires repeatedly on this panel (slow-lane feeder leaves promotion gaps; contrast M-BOUNDARIES-04). Population latency 20-40s in a fresh session is F-CANOPY-004 residue.	F027-REDRIVE__dataset_dstats.png
M-DATASET-15	PASS (re-validated @ f9defb4)	RE-DRIVEN post-#507/#509; was FAIL (rendered 1102x0 with no traces against a store carrying 1000 samples). Now: 900x800 with two scatter traces ('Class 0'/'Class 1'), real axes (-10..10), modebar present. MANUAL-class row driven automated per the original protocol.	F027-REDRIVE__dataset_dstats.png
M-DATASET-16	PASS (re-validated @ f9defb4)	RE-DRIVEN post-#507/#509; was FAIL (1102x0, no traces). Now: 1102x330 with two histogram traces and 'Feature 0'/'Feature 1' annotations; modebar off as specified.	F027-REDRIVE__dataset_dstats.png
